Country,iso,CSCC_gtc_mean,CSCC_gtc_std,CSCC_gtc_skew,CSCC_gtc_median,CSCC_gtc_q17,CSCC_gtc_q83,CSCC_gtc_min,CSCC_gtc_max
Guinea-Bissau,GNB,0.2019285215484752,0.11336413871867199,0.4650372749430304,0.19203376894997393,0.09862300446833996,0.3064245906777771,-0.18399385220891032,0.8543961224958618
Equatorial Guinea,GNQ,0.32740060298309653,0.19571042281690004,0.5387159077693766,0.3106679118584763,0.1489085082880985,0.5048358512149398,-0.328031405853696,1.550192086879163
Greece,GRC,0.7880587297709128,0.9646089879044418,0.5618871277018492,0.7206239712310338,-0.1277446108386938,1.640580566388174,-3.04700013651292,7.573737550824688
Guatemala,GTM,2.134548206970859,1.2899583202822624,0.370264077703486,2.059805431450229,0.9378249444948513,3.3192150465378596,-2.188599346392805,9.351651945299439
Guyana,GUY,0.05799869853482688,0.0319660172331129,0.441281811727559,0.05584173756881816,0.028997730794870894,0.08686390977410022,-0.057022642623748516,0.2605795749272254
Honduras,HND,1.0417285782315306,0.5962797524406712,0.3754379335565618,1.002610019628129,0.49405894924953475,1.589429921980624,-0.9609149378314238,4.368235928718767
Croatia,HRV,0.008892034661527048,0.1858804751516197,0.1198328818168754,0.006853578315844844,-0.16964110320591363,0.18012161610600447,-0.9903212593600014,1.0560956207119911
Haiti,HTI,0.6787747959523764,0.3992172287334497,0.5541476549017775,0.6427837214489228,0.31747739134187447,1.0383435154345584,-0.6967308268830452,3.274955042252936
Hungary,HUN,-0.15392916594963651,0.5614042524235174,-0.04048391443118497,-0.14967143303787003,-0.674103815685944,0.36654511199468914,-3.599799173047603,2.750945401387088
Indonesia,IDN,29.17994300189131,16.947245319027246,0.5101619746104695,27.84808789669367,13.740804817823534,44.49185911540079,-27.495248284130557,135.57190589761328
India,IND,188.73171877332496,105.53440465565255,0.4101398154469058,181.49685548759697,92.55037810968172,284.87537446554114,-171.4791261717673,793.1776865521996
Ireland,IRL,-0.4202631887060378,0.3808350322309496,-0.5400108564100923,-0.3935029793153455,-0.759032132863644,-0.0713021502446853,-3.6999669703184983,1.084751476978593
Iran,IRN,5.059106051823508,5.106159636446858,0.3772697031686888,4.83175843624157,0.11024062325746645,9.727527543371968,-13.675082296243351,36.27110324651032
Iraq,IRQ,5.639143975299761,3.3089828397700254,0.28594404581801086,5.482405038310727,2.5672234530889635,8.703000879929855,-6.034399357674997,23.359123469938904
