Country,iso,Fbc_mean,Fbc_std,Fbc_skew,Fbc_median,Fbc_q17,Fbc_q83,Fbc_min,Fbc_max
Libya,LBY,-0.013103401331275922,0.0018221927149286179,0.08690233566058017,-0.012862323864520098,-0.0147696564073325,-0.0114946158045366,-0.016584676481954,-0.00941971645484631
Saint Lucia,LCA,-0.00012080401617409612,1.1282922663181109e-05,0.25394617380296786,-0.00012139,-0.00013195,-0.00010759610665265598,-0.00013949,-9.696000000000002e-05
Liechtenstein,LIE,-3.66594892344021e-05,4.01142103129322e-06,-1.4591949985102963,-3.5931782151337396e-05,-3.898070243818178e-05,-3.34548479411555e-05,-4.8790460332859104e-05,-2.9376183977870303e-05
Sri Lanka,LKA,-0.00752970149117983,0.0012687861619814058,-0.2362553762190614,-0.0073261306618489196,-0.008853115965787889,-0.00644336255329199,-0.01069886066184892,-0.00464571255329199
Lesotho,LSO,-0.0008305854545302879,0.0006665326770902973,-0.013414986670920986,-0.0007187650412818129,-0.00153344,-0.0004064,-0.0024921050412818127,0.0010688100000000001
Lithuania,LTU,-0.004258400635849744,0.0007790650442152198,0.4483493012171204,-0.0043919665283842805,-0.00495933753002183,-0.0033102382555949775,-0.00580208073144105,-0.0024054616293668098
Luxembourg,LUX,-0.0024968811696466195,0.00024028371580587826,0.6833194577561759,-0.00256351158901944,-0.0027042902140148395,-0.00223926520854175,-0.00286699296360399,-0.00194637537415597
Latvia,LVA,-0.002754419763146656,0.00039374220367267284,-0.2619260303306562,-0.0026897728837522,-0.00322969119903043,-0.00242662452714091,-0.0036901598166145,-0.0017114811990304299
Morocco,MAR,-0.01783061132178544,0.0030715325227370074,-0.8466645750334398,-0.0171569802183406,-0.0203409279694323,-0.0152449296569409,-0.0279708203357166,-0.0108221496569409
Moldova,MDA,-0.0009118171133606161,0.0003782756227707805,0.25093798779981996,-0.0009343184397072248,-0.0012843611353711801,-0.00047111329201417,-0.00156292329201417,-3.68935480349298e-05
Madagascar,MDG,-0.006663402728172172,0.002947400975802877,0.7311655221993667,-0.007637543524814792,-0.00924075983484573,-0.00237969352481479,-0.01100846983484573,-0.0005610335248147921
Maldives,MDV,-0.00043803390127598353,8.59309109251185e-05,-0.01476798540581685,-0.00045000000000000004,-0.0005402552625,-0.00034899999999999997,-0.000566686786686462,-0.000298
Mexico,MEX,-0.12798366147366527,0.007830167964516617,0.28121280400486465,-0.128285135546924,-0.136023105242186,-0.11981504164695199,-0.146967415242186,-0.10696562554692401
Marshall Islands,MHL,-3.9680746086175553e-05,9.72856431732166e-07,-0.5441475279958317,-4e-05,-4e-05,-3.9e-05,-4.1870624612530505e-05,-3.8e-05
North Macedonia,MKD,-0.0019221104559248793,0.0003367884299348364,-0.1775556527091212,-0.00191392,-0.00222145,-0.00154739,-0.00284575514593967,-0.0012264900000000002
Mali,MLI,-0.005404360179241898,0.004794071552328074,0.20860150062200516,-0.008356292997862674,-0.010280170213888969,0.00064671978611103,-0.01108749213759353,0.002317337002137326
Malta,MLT,-0.0004706323351370087,9.453284601048446e-05,-1.165128314092488,-0.00043678811135371197,-0.000636558810043668,-0.000405141037117904,-0.000663059825327511,-0.00034156781932314403
Myanmar,MMR,-0.03463008248486873,0.007842934665847618,0.0004360221220609744,-0.03527204450082852,-0.04237117461235203,-0.02553664567116693,-0.05098645461235203,-0.018684470391165782
Montenegro,MNE,-0.00015142526398925687,0.00022600324667273057,0.8055018520819109,-0.00023815999999999996,-0.0003431341121379841,7.300999999999998e-05,-0.0005261300000000001,0.00039701000000000005
Mongolia,MNG,-0.009979501522142569,0.0026173848553494253,0.052177270890718004,-0.01017454588310151,-0.0123913322613345,-0.0075008803964129005,-0.0154252968861399,-0.0040894503964129005
Mozambique,MOZ,-0.010105641953000996,0.006719284632256938,1.541187902847077,-0.0119027609388509,-0.015360734677966231,-0.00503331015351912,-0.0171383809388509,0.008215726999804232
Mauritania,MRT,-0.00115941519006774,0.0003465713814426202,-0.9745713546144339,-0.001133570384458584,-0.0014429453099897,-0.0008228989365122021,-0.00258404939663577,-0.000556288936512202
Mauritius,MUS,-0.0011843554291886983,8.700571885029622e-05,-1.7074443923350668,-0.0011722400000000002,-0.00123978,-0.0011147800000000001,-0.0016303799999999999,-0.00101615
Malawi,MWI,-0.00357389523674155,0.0015617605798507984,-0.5073004790917351,-0.003267797235844389,-0.005784600023728936,-0.002216140023728936,-0.006961051643921492,-0.0009057700237289361
