Country,iso,Fab_mf_mean,Fab_mf_std,Fab_mf_skew,Fab_mf_median,Fab_mf_q17,Fab_mf_q83,Fab_mf_min,Fab_mf_max
Nepal,NPL,0.0032842425438478116,0.0061690858665957235,-1.6428023686138966,0.0036435691595721243,-0.00092779100124619,0.008214486280419826,-0.033788684808940886,0.019748039243073463
New Zealand,NZL,0.004387469249976947,0.005984913416847474,0.16646237015493057,0.004545245875058174,-0.0018416814230607541,0.01019254703381419,-0.011746613352980613,0.024627753160254954
Oman,OMN,-5.290643500000001e-05,4.965528329671177e-05,-0.020997629104133518,-6.072e-05,-0.00010475,9.72e-06,-0.00014171,1.2810000000000001e-05
Pakistan,PAK,-0.001472059865143781,0.0022657864891946753,-0.16185110214531706,-0.0015330068937435748,-0.0031184408264628054,0.00038551191414607134,-0.011920741564867497,0.00610777491869092
Panama,PAN,0.0017375020685179365,0.0034248896237408133,-0.42003084256131135,0.0013692178672710061,-0.000934405681629926,0.00481050352785306,-0.015245006968517303,0.012280463934390544
Peru,PER,0.006688471250475574,0.02182315071736682,-0.9258247661225724,0.006191201506037712,-0.009886400045173877,0.025327432098399737,-0.11549303733617783,0.06431098999967574
Philippines,PHL,0.002126199632931796,0.012176729709600964,0.16195072217382572,0.0015109689817595483,-0.007872581612120866,0.012368834670664481,-0.05028295032879353,0.04906520389427185
Papua New Guinea,PNG,0.014431184777296914,0.013954741072598843,0.3884558774170852,0.012301520812895296,0.0016408007907902733,0.03083701849406643,-0.04209517162529945,0.05599281176086426
Poland,POL,0.01046983040843956,0.012787777038512535,-0.24900498326200288,0.01100720298912093,-0.0007290225672008871,0.022427340573601722,-0.031231178397045135,0.06176944336344719
North Korea,PRK,0.004359153413586165,0.0036659635496822675,0.1490047671727655,0.004330299717275798,0.0012734205723320526,0.007082295556556546,-0.007244203048062324,0.019552815198016167
Portugal,PRT,0.0010366211749008737,0.002757597829637861,-0.2904463027307694,0.001101883725263013,-0.0011451428494191171,0.00323685294655323,-0.014214397037642003,0.014427338933429719
Paraguay,PRY,-0.005347637170254911,0.029256777475300894,-0.20738718758030658,-0.004886992337941826,-0.03032391208897495,0.021561937252744346,-0.09899884278285981,0.08699217656661987
Palestine,PSE,-2.2017003999999997e-05,3.73997480133106e-05,-1.8560559931455227,-4.67e-06,-4.757e-05,2.6e-06,-0.00014251,1.8030000000000002e-05
