country,iso,Fa_mean,Fa_std,Fa_skew,Fa_median,Fa_q17,Fa_q83,Fa_min,Fa_max,Fa_tf_mean,Fa_tf_std,Fa_tf_skew,Fa_tf_median,Fa_tf_q17,Fa_tf_q83,Fa_tf_min,Fa_tf_max,Fa_mf_mean,Fa_mf_std,Fa_mf_skew,Fa_mf_median,Fa_mf_q17,Fa_mf_q83,Fa_mf_min,Fa_mf_max
Malaysia,MYS,0.025435429,0.016127165,0.013483884744346142,0.025032599,0.012140791,0.04045563,-0.029691903,0.077287324,0.021941192,0.014437589,0.09547627717256546,0.021335466,0.010039677,0.03554566,-0.02876833,0.06637656,0.020709338,0.013255023,0.0622347928583622,0.020585313,0.009352875,0.032935616,-0.02553406,0.061044227
Namibia,NAM,0.0030943828,0.029286783,-1.0786422491073608,0.0052018287,-0.018225979,0.026786523,-0.1297899,0.09491397,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
New Caledonia,NCL,0.00033135124,0.002342113,-0.7911436557769775,5.1316732e-05,-0.0002542882,0.0017486039,-0.01256046,0.0107244905,0.00018862534,0.001348861,-1.1077548265457153,0.0,-7.7994395e-05,0.0006771239,-0.009654311,0.006628359,0.00018862534,0.001348861,-1.1077548265457153,0.0,-7.7994395e-05,0.0006771239,-0.009654311,0.006628359
Niger,NER,0.0033637576,0.011823979,0.46109533309936523,0.0014848881,-0.003289548,0.012599273,-0.040011615,0.049286377,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Nigeria,NGA,0.022984678,0.027571306,-0.1908743977546692,0.024645127,0.0026794032,0.04569975,-0.07252999,0.13237472,0.009711162,0.007039086,0.4024409055709839,0.009918911,0.0027800822,0.015817666,-0.008123127,0.04127537,0.009589701,0.00700346,0.4274624288082123,0.009633267,0.0027676658,0.015451467,-0.007980723,0.04127537
Nicaragua,NIC,0.009230071,0.007990965,0.2081453651189804,0.008958293,0.0019873537,0.015875544,-0.014711805,0.031620927,0.007966852,0.006868492,0.06642476469278336,0.00781787,0.0018552638,0.014068252,-0.013610424,0.025252728,0.0076864827,0.006778225,0.1169961467385292,0.007567752,0.0016981078,0.013898713,-0.013268228,0.02476716
Netherlands,NLD,0.00050495594,0.002222437,-0.5442283153533936,0.00034675823,-0.00054384326,0.0016045669,-0.011459903,0.008797262,3.051348e-05,0.00024368822,-4.774132251739502,0.0,-3.6286563e-06,0.0001264909,-0.0023808517,0.0008478235,3.051348e-05,0.00024368822,-4.774132251739502,0.0,-3.6286563e-06,0.0001264909,-0.0023808517,0.0008478235
Norway,NOR,0.008423434,0.010796461,0.3866957128047943,0.0074605867,0.00034569405,0.015691461,-0.030792927,0.04342651,0.0048140273,0.005423595,-0.21625208854675293,0.0047301436,0.00047351792,0.009512826,-0.019230342,0.020222586,0.0047845505,0.005394583,-0.22645878791809082,0.004698688,0.00048879837,0.009493162,-0.019230342,0.020045802
Nepal,NPL,0.006716145,0.008785672,-2.7277791500091553,0.0073010004,0.002467514,0.012109994,-0.052769735,0.032496285,0.0053046723,0.0059557115,-2.0055453777313232,0.0059130816,0.0018078123,0.009806545,-0.028394215,0.01904657,0.0052737575,0.005944448,-1.986508846282959,0.005884949,0.0018078123,0.009607085,-0.028394215,0.01904657
New Zealand,NZL,0.010642802,0.010534217,-0.49942901730537415,0.010658802,0.0019385868,0.019893877,-0.031527665,0.035952408,0.0052454774,0.0045323013,0.20738348364830017,0.004862459,0.0012058353,0.0094731115,-0.00807938,0.017307088,0.0038255823,0.0034976515,0.4060177803039551,0.0035864227,0.0008142287,0.0065910886,-0.0063157734,0.015570673
Oman,OMN,-6.644683e-05,0.0024754037,1.5269346237182617,-0.000102738006,-0.00072250265,0.00044893628,-0.010480693,0.015471066,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Pakistan,PAK,0.0076698065,0.024983495,0.8704301714897156,0.00476522,-0.0110568935,0.024697674,-0.07271247,0.114703275,0.0003718428,0.0010917992,-0.4512579143047333,0.00029028894,-0.00016415467,0.0011759447,-0.0045046816,0.004046165,0.0003718428,0.0010917992,-0.4512579143047333,0.00029028894,-0.00016415467,0.0011759447,-0.0045046816,0.004046165
Panama,PAN,0.006322494,0.005940878,0.7469794154167175,0.00560306,0.0020077596,0.01014318,-0.015318394,0.033496924,0.0040425584,0.0041291,-0.26670071482658386,0.0034970613,0.000875349,0.007705155,-0.015667567,0.01597431,0.0032412019,0.003410171,-0.3495793044567108,0.0028162715,0.000669483,0.0061905254,-0.013233237,0.013148184
Peru,PER,0.064911224,0.052344795,-0.4162869453430176,0.06594604,0.0284239,0.102272615,-0.18775442,0.2049785,0.054580044,0.044403803,-0.18643072247505188,0.051846057,0.02126437,0.08965847,-0.14505672,0.18250977,0.017862864,0.020752419,-1.0737941265106201,0.017053537,0.0036113267,0.035372615,-0.09324422,0.06545984
